"","X.1","X","Site","Treatment","Yr_Month","Site_ym","Blackbear","Wolf","Coyote","Lynx","Caribou","WTDeer","Moose","Year","Month","ActiveDays","SnowDays","pSnow"
"1",1,1,"Algar01","Control","2015-11","Algar01 2015-11",0,0,0,0,0,2,0,2015,11,26,15,0.576923076923077
"2",2,2,"Algar01","Control","2015-12","Algar01 2015-12",0,0,0,0,0,0,0,2015,12,31,31,1
"3",3,3,"Algar01","Control","2016-01","Algar01 2016-01",0,0,0,0,0,0,0,2016,1,31,31,1
"4",4,4,"Algar01","Control","2016-02","Algar01 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"5",5,5,"Algar01","Control","2016-03","Algar01 2016-03",0,0,0,0,0,0,0,2016,3,31,31,1
"6",6,6,"Algar01","Control","2016-04","Algar01 2016-04",0,0,0,0,0,1,0,2016,4,30,5,0.166666666666667
"7",7,7,"Algar01","Control","2016-05","Algar01 2016-05",0,0,0,0,0,1,2,2016,5,31,0,0
"8",8,8,"Algar01","Control","2016-06","Algar01 2016-06",1,0,0,0,0,1,1,2016,6,30,0,0
"9",9,9,"Algar01","Control","2016-07","Algar01 2016-07",0,0,0,0,0,0,0,2016,7,31,0,0
"10",10,10,"Algar01","Control","2016-08","Algar01 2016-08",0,0,0,0,0,0,0,2016,8,31,0,0
"11",11,11,"Algar01","Control","2016-09","Algar01 2016-09",0,0,0,0,0,1,0,2016,9,30,0,0
"12",12,12,"Algar01","Control","2016-10","Algar01 2016-10",0,0,0,0,0,0,0,2016,10,31,14,0.451612903225806
"13",13,13,"Algar01","Control","2016-11","Algar01 2016-11",0,0,0,0,0,0,0,2016,11,30,7,0.233333333333333
"14",14,14,"Algar01","Control","2016-12","Algar01 2016-12",0,0,0,0,0,0,0,2016,12,31,31,1
"15",15,15,"Algar01","Control","2017-01","Algar01 2017-01",0,0,0,0,0,0,0,2017,1,31,31,1
"16",16,16,"Algar01","Control","2017-02","Algar01 2017-02",0,0,0,0,0,0,1,2017,2,28,28,1
"17",17,17,"Algar01","Control","2017-03","Algar01 2017-03",0,0,0,0,0,0,0,2017,3,31,29,0.935483870967742
"18",18,18,"Algar01","Control","2017-04","Algar01 2017-04",0,0,0,0,0,2,0,2017,4,30,9,0.3
"19",19,19,"Algar01","Control","2017-05","Algar01 2017-05",0,0,0,0,0,2,5,2017,5,31,0,0
