Site,Treatment,Yr_Month,Site_ym,Blackbear,Wolf,Coyote,Lynx,Caribou,WTDeer,Moose,Year,Month,ActiveDays,Dist2Water_km,SnowDays,pSnow
Algar01,Control,2015-11,Algar01 2015-11,0,0,0,0,0,2,0,2015,11,26,0.230325864,15,0.576923077
Algar01,Control,2015-12,Algar01 2015-12,0,0,0,0,0,0,0,2015,12,31,0.230325864,31,1
Algar01,Control,2016-01,Algar01 2016-01,0,0,0,0,0,0,0,2016,1,31,0.230325864,31,1
Algar01,Control,2016-02,Algar01 2016-02,0,0,0,0,0,0,0,2016,2,29,0.230325864,29,1
Algar01,Control,2016-03,Algar01 2016-03,0,0,0,0,0,0,0,2016,3,31,0.230325864,31,1
Algar01,Control,2016-04,Algar01 2016-04,0,0,0,0,0,1,0,2016,4,30,0.230325864,5,0.166666667
Algar01,Control,2016-05,Algar01 2016-05,0,0,0,0,0,1,2,2016,5,31,0.230325864,0,0
Algar01,Control,2016-06,Algar01 2016-06,1,0,0,0,0,1,1,2016,6,30,0.230325864,0,0
Algar01,Control,2016-07,Algar01 2016-07,0,0,0,0,0,0,0,2016,7,31,0.230325864,0,0
Algar01,Control,2016-08,Algar01 2016-08,0,0,0,0,0,0,0,2016,8,31,0.230325864,0,0
Algar01,Control,2016-09,Algar01 2016-09,0,0,0,0,0,1,0,2016,9,30,0.230325864,0,0
Algar01,Control,2016-10,Algar01 2016-10,0,0,0,0,0,0,0,2016,10,31,0.230325864,14,0.451612903
Algar01,Control,2016-11,Algar01 2016-11,0,0,0,0,0,0,0,2016,11,30,0.230325864,7,0.233333333
Algar01,Control,2016-12,Algar01 2016-12,0,0,0,0,0,0,0,2016,12,31,0.230325864,31,1
Algar01,Control,2017-01,Algar01 2017-01,0,0,0,0,0,0,0,2017,1,31,0.230325864,31,1
Algar01,Control,2017-02,Algar01 2017-02,0,0,0,0,0,0,1,2017,2,28,0.230325864,28,1
Algar01,Control,2017-03,Algar01 2017-03,0,0,0,0,0,0,0,2017,3,31,0.230325864,29,0.935483871
Algar01,Control,2017-04,Algar01 2017-04,0,0,0,0,0,2,0,2017,4,30,0.230325864,9,0.3
Algar01,Control,2017-05,Algar01 2017-05,0,0,0,0,0,2,5,2017,5,31,0.230325864,0,0
Algar01,Control,2017-06,Algar01 2017-06,2,0,0,0,0,0,3,2017,6,30,0.230325864,0,0
Algar01,Control,2017-07,Algar01 2017-07,0,0,0,0,0,1,1,2017,7,31,0.230325864,0,0
Algar01,Control,2017-08,Algar01 2017-08,0,0,0,0,0,2,0,2017,8,31,0.230325864,0,0
Algar01,Control,2017-09,Algar01 2017-09,0,0,0,0,0,0,0,2017,9,30,0.230325864,0,0
Algar01,Control,2017-10,Algar01 2017-10,0,0,0,0,0,0,0,2017,10,31,0.230325864,10,0.322580645
Algar01,Control,2017-11,Algar01 2017-11,0,0,0,0,0,1,0,2017,11,30,0.230325864,30,1
Algar01,Control,2017-12,Algar01 2017-12,0,0,0,0,0,0,1,2017,12,31,0.230325864,30,0.967741935
Algar01,Control,2018-01,Algar01 2018-01,0,0,0,0,0,0,1,2018,1,31,0.230325864,31,1
Algar01,Control,2018-02,Algar01 2018-02,0,0,0,0,0,0,0,2018,2,28,0.230325864,28,1
Algar01,Control,2018-03,Algar01 2018-03,0,0,0,0,0,0,0,2018,3,31,0.230325864,31,1
Algar01,Control,2018-04,Algar01 2018-04,0,0,0,0,0,0,0,2018,4,7,0.230325864,6,0.857142857
Algar02,Control,2015-11,Algar02 2015-11,0,0,0,0,0,2,2,2015,11,26,1.968082376,15,0.576923077
Algar02,Control,2015-12,Algar02 2015-12,0,0,0,0,0,0,4,2015,12,31,1.968082376,31,1
Algar02,Control,2016-01,Algar02 2016-01,0,0,0,0,0,0,0,2016,1,31,1.968082376,31,1
Algar02,Control,2016-02,Algar02 2016-02,0,0,0,0,0,0,0,2016,2,29,1.968082376,29,1
Algar02,Control,2016-03,Algar02 2016-03,0,0,0,1,0,0,0,2016,3,31,1.968082376,31,1
Algar02,Control,2016-04,Algar02 2016-04,1,0,1,0,0,0,0,2016,4,30,1.968082376,14,0.466666667
Algar02,Control,2016-05,Algar02 2016-05,4,0,1,0,0,0,0,2016,5,31,1.968082376,0,0
Algar02,Control,2016-06,Algar02 2016-06,2,0,0,0,0,0,1,2016,6,30,1.968082376,0,0
Algar02,Control,2016-07,Algar02 2016-07,1,0,0,0,0,0,0,2016,7,31,1.968082376,0,0
Algar02,Control,2016-08,Algar02 2016-08,1,1,0,0,0,0,0,2016,8,31,1.968082376,0,0
Algar02,Control,2016-09,Algar02 2016-09,0,0,0,0,0,0,0,2016,9,30,1.968082376,0,0
Algar02,Control,2016-10,Algar02 2016-10,0,0,0,0,0,0,1,2016,10,31,1.968082376,23,0.741935484
Algar02,Control,2016-11,Algar02 2016-11,0,0,0,0,0,1,0,2016,11,30,1.968082376,15,0.5
Algar02,Control,2016-12,Algar02 2016-12,0,0,0,0,0,3,2,2016,12,31,1.968082376,31,1
Algar02,Control,2017-01,Algar02 2017-01,0,0,0,0,0,0,0,2017,1,31,1.968082376,31,1
Algar02,Control,2017-02,Algar02 2017-02,0,0,0,0,0,0,0,2017,2,28,1.968082376,28,1
Algar02,Control,2017-03,Algar02 2017-03,0,0,0,0,3,0,0,2017,3,31,1.968082376,31,1
Algar02,Control,2017-04,Algar02 2017-04,1,0,0,0,1,6,0,2017,4,30,1.968082376,16,0.533333333
Algar02,Control,2017-05,Algar02 2017-05,3,0,0,0,0,1,1,2017,5,31,1.968082376,0,0
Algar02,Control,2017-06,Algar02 2017-06,5,0,0,1,0,0,1,2017,6,30,1.968082376,0,0
Algar02,Control,2017-07,Algar02 2017-07,0,0,0,0,0,0,1,2017,7,31,1.968082376,0,0
Algar02,Control,2017-08,Algar02 2017-08,1,0,0,0,0,1,0,2017,8,31,1.968082376,0,0
Algar02,Control,2017-09,Algar02 2017-09,2,0,0,1,1,0,2,2017,9,30,1.968082376,0,0
Algar02,Control,2017-10,Algar02 2017-10,0,0,0,0,1,0,1,2017,10,31,1.968082376,11,0.35483871
Algar02,Control,2017-11,Algar02 2017-11,0,0,0,0,0,0,3,2017,11,30,1.968082376,30,1
Algar02,Control,2017-12,Algar02 2017-12,0,3,0,0,0,0,1,2017,12,31,1.968082376,31,1
Algar02,Control,2018-01,Algar02 2018-01,0,2,0,0,0,0,0,2018,1,31,1.968082376,31,1
Algar02,Control,2018-02,Algar02 2018-02,0,0,0,0,2,0,0,2018,2,28,1.968082376,28,1
Algar02,Control,2018-03,Algar02 2018-03,0,0,0,0,0,0,0,2018,3,31,1.968082376,31,1
Algar02,Control,2018-04,Algar02 2018-04,0,0,0,0,0,0,0,2018,4,7,1.968082376,6,0.857142857
Algar03,Control,2015-11,Algar03 2015-11,0,0,0,0,0,0,0,2015,11,26,0.110385348,18,0.692307692
