"","Site","Treatment","VegHt","LineWidth","Dist2Water_km","LD250","LD500","LD750","LD1000","LD1250","low500"
"1","Algar01","Control",1.56666666666667,6.5,0.230325863880224,5.13596953241239,3.72414608465441,3.83156242637032,3.80022878406647,3.41808313129009,0.433360109061985
"2","Algar02","Control",1.55333333333333,8.5,1.9680823763194,5.20000469347071,2.56938184583332,2.73290727145125,2.95213987048838,2.54722762226787,0.531438333529785
"3","Algar03","Control",0.316666666666667,5,0.110385347847885,8.78815377825285,4.10139090102639,3.44697289344999,2.90893458827913,2.47341975527167,0.643916016650241
"4","Algar04","Control",1.62666666666667,5,0.977692171102338,5.10662457001605,4.3388703556247,3.17642996951226,2.39551321771203,1.84633201359655,0.634503057471868
"5","Algar05","Control",0.53,6,1.547043971623,12.5288197260412,6.16831728162544,3.87380955785982,2.80828522950139,2.21386113265281,0.424805711385087
"6","Algar06","Control",3.5,9,1.51131800228491,10.1191759390432,9.20253356578537,8.30748896171968,6.27928123009941,5.26546379969934,0.434684761909821
"7","Algar07","Control",0.6,6,1.33416604696142,13.1696361734358,8.5251379817496,6.94416491222958,6.49826868464637,6.13595591914495,0.771973653653599
"8","Algar08","Control",1.99333333333333,7,0.999141902405244,14.2279803248662,7.41370737464755,5.64412001932627,5.06395118395197,4.8325946940213,0.390659190867651
"9","Algar09","Control",0.53,7,1.78605373990035,8.17012355884582,4.11678350240943,3.56994618454972,3.31208344802632,4.09289382029581,0.815258146546084
"10","Algar10","Control",0.443333333333333,3,2.42797224711419,3.30636922478105,4.99224133097866,3.74694361707542,3.29607779497398,2.97375036827789,0.910881687430118
"11","Algar11","Control",0.45,7.5,0.585239247150047,5.10303447347362,2.53566435689375,1.94377564713597,1.7611315547984,1.66310089477539,0.505467658993727
"12","Algar12","Control",1.43,7,0.135329213110292,4.67033343166782,2.53770534924469,3.40663518242999,3.47871199560841,3.29749021087777,0.662007192431609
"13","Algar13","SPP",0.406666666666667,6,1.55406707944543,5.19787961878511,4.15217070152924,4.19081958871915,3.48924070205894,3.7240707511588,0.870791471028919
"14","Algar14","SPP",1.38333333333333,9,3.79300742901276,9.17990296764445,5.04676668018204,3.67016024571131,2.86573274838168,2.74643731098299,0.873740289333194
"15","Algar15","SPP",1.21333333333333,7,0.244075793390411,5.12569449035468,2.54943885039583,1.53189773321917,1.12411421099054,1.44250842867521,0.565560330243731
"16","Algar16","SPP",0.366666666666667,6,1.830708349614,6.89405075326006,7.13864925891496,6.70315201979571,6.37414306315987,5.62494130875189,0.486766606242162
"17","Algar17","SPP",0.25,6,1.26736975495138,9.75001490882994,8.37080924457671,7.25273875776701,6.83384521729822,6.17491600212404,0.886792944136765
"18","Algar18","SPP",1.08666666666667,7,1.40023573210326,9.87812076860921,7.88865016182157,6.0473975722427,5.41495785299347,5.35325265113092,0.727166312422841
"19","Algar19","SPP",0.543333333333333,5,2.84979386840814,4.18269331372845,2.33005505123978,2.807176962891,2.30075738528886,2.29519006076449,0.814086845804358
"20","Algar20","SPP",0.496666666666667,5,2.0362674560573,7.30187970630963,5.65196935602887,3.39384276883236,2.38598302752077,1.89713562354809,0.928716309935411
"21","Algar21","SPP",1.26,7,0.863203275897554,4.35052919397381,2.37724434967032,1.62455590825643,1.82962814290572,1.89953926241349,0.401668288144371
"22","Algar22","SPP",1.51,7.5,0.554892733829295,4.33207028511316,3.77881376090268,3.20014395609824,3.31636654127373,3.05028823056978,0.645191542719319
"23","Algar23","SPP",1.00333333333333,4,0.557586671521958,9.6235995512769,5.01567045565726,3.37684763219252,2.69537913949368,2.81969858799136,0.516901561500215
"24","Algar24","SPP",0.613333333333333,6,3.00081651105247,5.02602807475527,5.07005170626369,4.47228370174845,3.97142679904962,3.22455600265318,0.709908423300585
